product_id,product_name,category,transaction_date,year,month,total_quantity,total_revenue,nb_transactions,avg_transaction_value
8,Organiseur de Bureau,Accessoires,2024-07-10,2024,7,5,495.0,1,495.0
8,Organiseur de Bureau,Accessoires,2024-07-14,2024,7,4,396.0,1,396.0
1,Souris Sans Fil,Électronique,2024-07-14,2024,7,1,149.99,1,149.99
1,Souris Sans Fil,Électronique,2024-07-17,2024,7,5,749.95,1,749.95
5,Cahier Atlas,Papeterie,2024-07-30,2024,7,2,70.0,1,70.0
1,Souris Sans Fil,Électronique,2024-08-11,2024,8,2,299.98,1,299.98
2,Enceinte Bluetooth,Électronique,2024-08-27,2024,8,5,1997.5,1,1997.5
1,Souris Sans Fil,Électronique,2024-09-05,2024,9,3,449.97,1,449.97
6,Bouteille Isotherme,Fitness,2024-09-21,2024,9,2,178.0,1,178.0
1,Souris Sans Fil,Électronique,2024-10-02,2024,10,5,749.95,1,749.95
1,Souris Sans Fil,Électronique,2024-10-08,2024,10,2,299.98,1,299.98
8,Organiseur de Bureau,Accessoires,2024-10-10,2024,10,1,99.0,1,99.0
8,Organiseur de Bureau,Accessoires,2024-11-02,2024,11,1,99.0,1,99.0
3,Tapis de Sport,Fitness,2024-11-12,2024,11,5,995.0,1,995.0
7,Montre Connectée,Électronique,2024-11-15,2024,11,3,3897.0,1,3897.0
9,Haltères,Fitness,2024-11-16,2024,11,4,2196.0,1,2196.0
6,Bouteille Isotherme,Fitness,2024-11-29,2024,11,4,356.0,1,356.0
8,Organiseur de Bureau,Accessoires,2024-12-13,2024,12,5,495.0,1,495.0
7,Montre Connectée,Électronique,2025-01-01,2025,1,5,6495.0,1,6495.0
7,Montre Connectée,Électronique,2025-01-04,2025,1,5,6495.0,1,6495.0
8,Organiseur de Bureau,Accessoires,2025-03-16,2025,3,5,495.0,1,495.0
5,Cahier Atlas,Papeterie,2025-03-17,2025,3,1,35.0,1,35.0
8,Organiseur de Bureau,Accessoires,2025-03-31,2025,3,4,396.0,1,396.0
9,Haltères,Fitness,2025-04-30,2025,4,2,1098.0,1,1098.0
2,Enceinte Bluetooth,Électronique,2025-05-01,2025,5,3,1198.5,1,1198.5
3,Tapis de Sport,Fitness,2025-05-04,2025,5,4,796.0,1,796.0
6,Bouteille Isotherme,Fitness,2025-05-19,2025,5,5,445.0,1,445.0
5,Cahier Atlas,Papeterie,2025-05-26,2025,5,4,140.0,1,140.0
9,Haltères,Fitness,2025-06-03,2025,6,2,1098.0,1,1098.0
7,Montre Connectée,Électronique,2025-06-08,2025,6,2,2598.0,1,2598.0
